Subject ID,Hemisphere,Cluster
100610,Left ,1
100610,Right,1
102311,Left ,2
102311,Right,1
102816,Left ,1
102816,Right,1
104416,Left ,2
104416,Right,1
105923,Left ,5
105923,Right,2
108323,Left ,1
108323,Right,1
109123,Left ,1
109123,Right,1
111312,Left ,5
111312,Right,1
111514,Left ,1
111514,Right,1
114823,Left ,5
114823,Right,2
115017,Left ,1
115017,Right,1
115825,Left ,4
115825,Right,4
116726,Left ,2
116726,Right,1
118225,Left ,2
118225,Right,2
125525,Left ,4
125525,Right,5
126426,Left ,2
126426,Right,1
128935,Left ,1
128935,Right,1
130114,Left ,1
130114,Right,1
130518,Left ,1
130518,Right,1
131217,Left ,2
131217,Right,1
131722,Left ,3
131722,Right,3
132118,Left ,1
132118,Right,1
134627,Left ,3
134627,Right,2
134829,Left ,5
134829,Right,1
135124,Left ,1
135124,Right,1
137128,Left ,2
137128,Right,1
140117,Left ,1
140117,Right,1
144226,Left ,3
144226,Right,1
145834,Left ,1
145834,Right,1
146129,Left ,1
146129,Right,1
146432,Left ,1
146432,Right,1
146735,Left ,2
146735,Right,1
146937,Left ,1
146937,Right,1
148133,Left ,5
148133,Right,1
150423,Left ,1
150423,Right,1
155938,Left ,3
155938,Right,2
156334,Left ,2
156334,Right,3
157336,Left ,1
157336,Right,1
158035,Left ,1
158035,Right,1
158136,Left ,1
158136,Right,1
159239,Left ,3
159239,Right,2
162935,Left ,1
162935,Right,1
164131,Left ,2
164131,Right,1
164636,Left ,1
164636,Right,1
165436,Left ,2
165436,Right,1
167036,Left ,2
167036,Right,1
167440,Left ,1
167440,Right,1
169040,Left ,4
169040,Right,5
169343,Left ,4
169343,Right,4
169444,Left ,4
169444,Right,3
169747,Left ,5
169747,Right,1
171633,Left ,1
171633,Right,2
172130,Left ,1
172130,Right,2
173334,Left ,1
173334,Right,1
175237,Left ,1
175237,Right,1
176542,Left ,1
176542,Right,1
177140,Left ,1
177140,Right,1
177645,Left ,4
177645,Right,3
177746,Left ,2
177746,Right,1
178142,Left ,1
178142,Right,2
178243,Left ,3
178243,Right,4
178647,Left ,1
178647,Right,1
180533,Left ,1
180533,Right,1
181232,Left ,5
181232,Right,1
181636,Left ,2
181636,Right,3
182436,Left ,2
182436,Right,5
